,Relationship to the child,Total,Percent,Daily,Daily_From,Daily_To,Weekly,Weekly_From,Weekly_To,Occasionally,Occasionally_From,Occasionally_To,Never,Never_From,Never_To,NA,NA_From,NA_To,NS,NS_From,NS_To
0,Cousins - Canada,"96,730",100,13,12.0,13.4,32.0,30.9,33.0,36.0,34.7,36.9,11.0,10.6,12.0,6.0,5.5,6.6,2.0,1.7,2.4
1,Elders - Canada,"96,730",100,7,6.5,7.5,19.0,18.3,20.0,24.0,22.9,24.8,38.0,36.6,38.7,9.0,8.5,9.8,3.0,2.6,3.4
2,Cousins - Atlantic,"4,890",100,10,8.0,12.7,36.0,32.0,40.5,33.0,28.5,37.0,15.0,11.3,18.1,5.0,3.6,7.3,0.0,0.6,2.7
3,Aunts and uncles - Quebec,"7,190",100,12,10.2,13.6,34.0,29.3,38.0,40.0,36.0,44.7,9.0,7.0,11.8,2.0,1.2,3.2,3.0,2.4,3.8
4,Cousins - Quebec,"7,190",100,12,10.2,13.9,26.0,22.4,29.9,38.0,33.3,42.0,13.0,9.9,15.5,9.0,6.2,12.3,3.0,2.5,3.9
5,Elders - Quebec,"7,190",100,6,4.4,8.1,20.0,16.3,23.2,23.0,19.7,27.0,36.0,32.3,40.3,11.0,7.8,13.9,5.0,3.7,5.2
6,Aunts and uncles - Ontario,"20,860",100,11,9.3,12.9,39.0,36.8,42.0,38.0,35.1,40.4,8.0,6.8,9.9,1.0,0.8,2.1,2.0,1.3,3.3
7,Cousins - Ontario,"20,860",100,8,6.1,9.2,32.0,29.6,34.7,41.0,37.8,43.3,12.0,10.0,13.7,6.0,4.5,6.9,2.0,1.5,3.5
8,Elders - Ontario,"20,860",100,6,5.0,7.9,20.0,17.9,22.3,24.0,22.1,26.9,36.0,33.6,39.0,10.0,8.0,11.2,3.0,2.3,4.5
9,Cousins - Manitoba,"14,220",100,12,9.7,13.3,37.0,34.0,39.3,35.0,31.9,37.4,10.0,8.0,11.4,6.0,4.7,7.4,2.0,1.1,2.5
10,Elders - Manitoba,"14,220",100,6,5.2,7.8,19.0,16.9,21.0,24.0,21.6,26.4,38.0,35.4,40.6,11.0,8.9,12.4,2.0,1.4,2.9
11,Elders - Saskatchewan,"11,940",100,8,6.8,9.9,21.0,18.8,23.4,24.0,21.6,26.4,36.0,33.0,38.2,8.0,7.0,9.9,3.0,1.8,3.9
12,Aunts and uncles - Alberta,"16,830",100,15,13.2,17.1,37.0,34.2,39.6,36.0,33.7,38.9,9.0,7.1,10.1,1.0,0.6,1.7,2.0,1.4,2.9
13,Cousins - Alberta,"16,830",100,10,8.6,11.9,30.0,27.1,32.0,40.0,37.2,42.4,12.0,10.5,14.0,6.0,5.0,7.6,2.0,1.4,2.9
14,Elders - Alberta,"16,830",100,5,3.9,6.2,15.0,13.3,17.0,27.0,24.4,29.1,41.0,38.7,43.7,9.0,7.4,10.4,3.0,2.3,4.2
15,Aunts and uncles - British Columbia,"14,400",100,16,14.0,18.1,35.0,32.1,37.3,37.0,33.9,39.2,9.0,7.8,11.0,2.0,1.1,2.5,2.0,1.0,2.6
16,Cousins - British Columbia,"14,400",100,11,8.8,12.4,28.0,25.9,30.9,39.0,36.4,41.8,13.0,11.1,14.8,8.0,6.2,9.4,2.0,0.8,2.2
17,Elders - British Columbia,"14,400",100,5,4.1,6.6,17.0,15.3,19.4,24.0,21.6,26.4,43.0,40.7,46.1,8.0,6.2,9.0,3.0,1.7,3.5
18,Elders - Yukon,720,100,10,7.5,13.9,28.0,20.6,35.2,26.0,20.4,34.1,29.0,22.7,38.1,0.0,0.0,0.0,0.0,0.0,0.0
19,Cousins - Saskatchewan,"11,940",100,17,15.0,19.1,35.0,32.3,37.5,32.0,29.1,34.4,10.0,8.1,11.5,5.0,3.6,6.0,2.0,1.2,3.0
